#;Company;Symbol;Price;Chg;% Chg;Weight sp500;Weight nasdaq100
363;Nucor Corporation;NUE;116.9;-5.82;-4.74%;0.088109
364;O'Reilly Automotive Inc.;ORLY;700;14.67;2.14%;0.116043;0.313
365;ONEOK Inc.;OKE;61.65;1.01;1.67%;0.067788
366;Occidental Petroleum Corporation;OXY;32.73;0.92;2.89%;0.070778
367;Okta Inc;OKTA;202.22;3.63;1.83%;;0.211
368;Old Dominion Freight Line Inc.;ODFL;343;0.72;0.21%;0.080501
369;Omnicom Group Inc;OMC;78;2.23;2.94%;0.040741
370;Oracle Corporation;ORCL;86.34;-0.12;-0.14%;0.350331
371;Organon & Co.;OGN;31.51;0.41;1.32%;0.019868
372;Otis Worldwide Corporation;OTIS;84.71;0.88;1.05%;0.089723
373;PACCAR Inc;PCAR;93.97;0.89;0.96%;0.081053;0.214
