Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12
US Pennsylvania;12801989;115883;22833;178.3550977899;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;10;12;16;22;41;47;63;76;96;132;184;266;367;473;634;839;1111;1665;2177;2704;3331;4011;4747;5672;6831;8152;9646;11031;12336;13708;15112;16541;17761;18904;19439
US Puerto Rico;3193694;8868;897;28.0865981525;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7.25;9.5;11.75;14;21;23;29;37;49;62;76;97;122;168;231;275;304;363;431;452;482;534;569;619;646;688;770
US Rhode Island;1059361;2678;2665;251.5667463688;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;3;2;3;3;3;5;9.5;14;20;19.5;20;21;31;42;51;64;80;103;121;127;155.5;189;219;273.5;381;466;533;613;655;740;839;976;1106;1318;1562;1812;2110;2371
US South Carolina;5148714;77857;3319;64.4626988409;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;7;8;9;10;12;13;19;27;32;59;69.5;80;150;192;291;353;415;446;485.5;526;755;897;1050;1233;1483.5;1654.5;1765;1854;1935;2056;2128;2336;2567.5;2668;2545
US South Dakota;884659;196350;730;82.5176706505;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;9;9.3333333333;9.6666666667;10;11;11;12;13;16.5;20;27;29;36;38;49;58.6666666667;80.3333333333;91;97;117;152;173;194.5;219;260;290;352;401;478;558;640
US Tennessee;6829174;106798;5308;77.7253588794;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;3;7;12.5;18;26;32;39;52;73;98;153;227;370;502;612;660;771.5;939;1177;1341;1498;1782;2166;2585;2691;2839;2950;3128;3187;3471;3578;3677;3659;3741;3771
US Texas;28995881;676587;13484;46.503156776;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;8;10;12;13;21;23;39;51;56;57;63;81;140;189;296;324;340;397;953;1373;1692;2001;2496;2820;3202;3914;4526;5136;5806;6478;6924;7852;8379;8834;9940;10509;10932
US Utah;3205958;212818;2303;71.8350022053;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;4;6;17;28;39;51;63;78;112;135;180;256;297;344;398;474;585;691;767;836;949;996;1134;1292;1424;1418;1439;1500;1574;1622;1604;1584
US Vermont;623989;23871;727;116.5084640915;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;4;6;8;10;19;22;27;38.5;50;70;88;115;149;174;199;223;244;280;302;316;360;420.5;460;468;480;482;470;495;500;492
US Virgin Islands;104425;350;3;2.8728752693;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;3;3;3;3;3;3;3;3;3;3;3;1;1
US Virgin Islands;104425;350;51;48.8388795786;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;3;6;11.5;17;17.5;18;18.5;19;22;23;29;29;30;30;35;34;30.5;26;26.5;27;27.5;31;29;28
US Virginia;8535519;102279;5274;61.7888613452;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;8;9;17;30;37.5;44;50;66;76;92;112;150;216;248;282;382;443;574;701.5;845;969;1183;1407;1612;1898;2255;2418;2624;3043;3254;3582;3905;4338;4384
