#;Company;Symbol;Weight sp500;      Price;Chg;% Chg
303;LyondellBasell Industries NV;LYB;0.06264;  96.70;0.43;(0.45%)
304;Edison International;EIX;0.062088;  64.78;-0.43;(-0.65%)
305;Hartford Financial Services Group Inc.;HIG;0.061223;  71.50;1.14;(1.62%)
306;United Rentals Inc.;URI;0.060806;  335.17;0.15;(0.04%)
307;Huntington Bancshares Incorporated;HBAN;0.060773;  17.04;0.62;(3.78%)
308;McCormick & Company Incorporated;MKC;0.060571;  96.49;-0.43;(-0.44%)
309;V.F. Corporation;VFC;0.060221;  71.86;-2.33;(-3.14%)
310;Ingersoll Rand Inc.;IR;0.060185;  60.30;1.09;(1.84%)
311;Etsy Inc.;ETSY;0.060006;  197.04;8.69;(4.61%)
312;VeriSign Inc.;VRSN;0.05942;  241.82;-1.69;(-0.69%)
313;KeyCorp;KEY;0.059137;  25.93;1.26;(5.11%)
314;STERIS Plc;STE;0.058898;  238.46;-0.45;(-0.19%)
315;Duke Realty Corporation;DRE;0.058627;  61.55;-0.51;(-0.82%)
316;Best Buy Co. Inc.;BBY;0.058037;  102.88;-0.12;(-0.12%)
317;PPL Corporation;PPL;0.057968;  30.01;-0.04;(-0.13%)
318;DTE Energy Company;DTE;0.057958;  119.57;0.32;(0.27%)
319;Seagate Technology Holdings PLC;STX;0.057849;  112.38;-2.33;(-2.03%)
320;PerkinElmer Inc.;PKI;0.057429;  181.60;0.54;(0.30%)
321;Ameren Corporation;AEE;0.057083;  87.90;-0.43;(-0.49%)
322;Essex Property Trust Inc.;ESS;0.056959;  348.95;-0.38;(-0.11%)
323;Nasdaq Inc.;NDAQ;0.056865;  195.46;0.44;(0.23%)
324;Baker Hughes Company Class A;BKR;0.056406;  26.11;0.43;(1.67%)
325;Halliburton Company;HAL;0.056234;  25.39;0.21;(0.83%)
326;Entergy Corporation;ETR;0.056202;  109.65;-1.89;(-1.69%)
327;Regions Financial Corporation;RF;0.056142;  24.26;0.81;(3.45%)
328;Hess Corporation;HES;0.055815;  85.25;4.42;(5.47%)
329;W.W. Grainger Inc.;GWW;0.055751;  510.13;1.78;(0.35%)
330;FirstEnergy Corp.;FE;0.05567;  41.08;0.28;(0.69%)
331;Hewlett Packard Enterprise Co.;HPE;0.055342;  16.97;0.08;(0.47%)
332;Expeditors International of Washington Inc.;EXPD;0.055243;  129.95;0.28;(0.22%)
333;Ulta Beauty Inc;ULTA;0.055129;  400.49;-1.00;(-0.25%)
334;Clorox Company;CLX;0.054648;  178.54;1.11;(0.63%)
335;Citizens Financial Group Inc.;CFG;0.054468;  53.80;2.82;(5.53%)
336;Waters Corporation;WAT;0.053975;  352.56;1.84;(0.52%)
337;M&T Bank Corporation;MTB;0.053368;  171.93;6.64;(4.02%)
338;Pool Corporation;POOL;0.053303;  520.52;-8.86;(-1.67%)
339;Enphase Energy Inc.;ENPH;0.053076;  151.49;-5.71;(-3.63%)
340;Ventas Inc.;VTR;0.052998;  53.28;0.44;(0.83%)
341;Xylem Inc.;XYL;0.052659;  116.36;-0.16;(-0.14%)
342;Signature Bank;SBNY;0.052182;  364.00;23.00;(6.74%)
343;NetApp Inc.;NTAP;0.052106;  93.24;0.59;(0.64%)
344;Broadridge Financial Solutions Inc.;BR;0.051699;  164.98;-12.49;(-7.04%)
345;Western Digital Corporation;WDC;0.05155;  64.74;-2.32;(-3.46%)
346;Trimble Inc.;TRMB;0.051492;  82.03;0.42;(0.51%)
347;Cooper Companies Inc.;COO;0.050694;  410.73;0.25;(0.06%)
348;Tyler Technologies Inc.;TYL;0.05052;  493.60;1.01;(0.21%)
349;Diamondback Energy Inc.;FANG;0.050418;  123.75;5.64;(4.78%)
350;Garmin Ltd.;GRMN;0.050254;  132.78;-0.27;(-0.20%)
351;Teledyne Technologies Incorporated;TDY;0.050251;  426.00;-2.92;(-0.68%)
352;Take-Two Interactive Software Inc.;TTWO;0.050013;  164.61;-7.24;(-4.21%)
